# Nx1 = 128
# x1-size = 1
# Nx2 = 128
# x2-size = 1
# PRIMITIVE vars at Time = 0, level= 0, domain= 0
# [1]=i-zone [2]=j-zone [3]=x1 [4]=x2 [5]=d [6]=V1 [7]=V2 [8]=V3 [9]=P
  76   4 5.66406250e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 5.03357795e+00 0.00000000e+00 1.00000000e+00
  77   4 5.74218750e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 5.02978497e+00 0.00000000e+00 1.00000000e+00
  78   4 5.82031250e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 5.02570514e+00 0.00000000e+00 1.00000000e+00
  79   4 5.89843750e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 5.02137775e+00 0.00000000e+00 1.00000000e+00
  80   4 5.97656250e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 5.01684449e+00 0.00000000e+00 1.00000000e+00
  81   4 6.05468750e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 5.01214901e+00 0.00000000e+00 1.00000000e+00
  82   4 6.13281250e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 5.00733652e+00 0.00000000e+00 1.00000000e+00
  83   4 6.21093750e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 5.00245338e+00 0.00000000e+00 1.00000000e+00
  84   4 6.28906250e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 4.99754662e+00 0.00000000e+00 1.00000000e+00
  85   4 6.36718750e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 4.99266348e+00 0.00000000e+00 1.00000000e+00
  86   4 6.44531250e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 4.98785099e+00 0.00000000e+00 1.00000000e+00
  87   4 6.52343750e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 4.98315551e+00 0.00000000e+00 1.00000000e+00
  88   4 6.60156250e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 4.97862225e+00 0.00000000e+00 1.00000000e+00
  89   4 6.67968750e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 4.97429486e+00 0.00000000e+00 1.00000000e+00
  90   4 6.75781250e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 4.97021503e+00 0.00000000e+00 1.00000000e+00
  91   4 6.83593750e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 4.96642205e+00 0.00000000e+00 1.00000000e+00
  92   4 6.91406250e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 4.96295244e+00 0.00000000e+00 1.00000000e+00
  93   4 6.99218750e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 4.95983962e+00 0.00000000e+00 1.00000000e+00
  94   4 7.07031250e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 4.95711357e+00 0.00000000e+00 1.00000000e+00
  95   4 7.14843750e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 4.95480054e+00 0.00000000e+00 1.00000000e+00
  96   4 7.22656250e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 4.95292280e+00 0.00000000e+00 1.00000000e+00
  97   4 7.30468750e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 4.95149844e+00 0.00000000e+00 1.00000000e+00
  98   4 7.38281250e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 4.95054117e+00 0.00000000e+00 1.00000000e+00
  99   4 7.46093750e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 4.95006023e+00 0.00000000e+00 1.00000000e+00
 100   4 7.53906250e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 4.95006023e+00 0.00000000e+00 1.00000000e+00
 101   4 7.61718750e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 4.95054117e+00 0.00000000e+00 1.00000000e+00
 102   4 7.69531250e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 4.95149844e+00 0.00000000e+00 1.00000000e+00
 103   4 7.77343750e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 4.95292280e+00 0.00000000e+00 1.00000000e+00
 104   4 7.85156250e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 4.95480054e+00 0.00000000e+00 1.00000000e+00
 105   4 7.92968750e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 4.95711357e+00 0.00000000e+00 1.00000000e+00
 106   4 8.00781250e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 4.95983962e+00 0.00000000e+00 1.00000000e+00
 107   4 8.08593750e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 4.96295244e+00 0.00000000e+00 1.00000000e+00
 108   4 8.16406250e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 4.96642205e+00 0.00000000e+00 1.00000000e+00
 109   4 8.24218750e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 4.97021503e+00 0.00000000e+00 1.00000000e+00
 110   4 8.32031250e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 4.97429486e+00 0.00000000e+00 1.00000000e+00
 111   4 8.39843750e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 4.97862225e+00 0.00000000e+00 1.00000000e+00
 112   4 8.47656250e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 4.98315551e+00 0.00000000e+00 1.00000000e+00
 113   4 8.55468750e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 4.98785099e+00 0.00000000e+00 1.00000000e+00
 114   4 8.63281250e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 4.99266348e+00 0.00000000e+00 1.00000000e+00
 115   4 8.71093750e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 4.99754662e+00 0.00000000e+00 1.00000000e+00
 116   4 8.78906250e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 5.00245338e+00 0.00000000e+00 1.00000000e+00
 117   4 8.86718750e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 5.00733652e+00 0.00000000e+00 1.00000000e+00
 118   4 8.94531250e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 5.01214901e+00 0.00000000e+00 1.00000000e+00
 119   4 9.02343750e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 5.01684449e+00 0.00000000e+00 1.00000000e+00
 120   4 9.10156250e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 5.02137775e+00 0.00000000e+00 1.00000000e+00
 121   4 9.17968750e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 5.02570514e+00 0.00000000e+00 1.00000000e+00
 122   4 9.25781250e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 5.02978497e+00 0.00000000e+00 1.00000000e+00
 123   4 9.33593750e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 5.03357795e+00 0.00000000e+00 1.00000000e+00
 124   4 9.41406250e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 5.03704756e+00 0.00000000e+00 1.00000000e+00
 125   4 9.49218750e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 5.04016038e+00 0.00000000e+00 1.00000000e+00
 126   4 9.57031250e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 5.04288643e+00 0.00000000e+00 1.00000000e+00
 127   4 9.64843750e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 5.04519946e+00 0.00000000e+00 1.00000000e+00
 128   4 9.72656250e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 5.04707720e+00 0.00000000e+00 1.00000000e+00
 129   4 9.80468750e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 5.04850156e+00 0.00000000e+00 1.00000000e+00
 130   4 9.88281250e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 5.04945883e+00 0.00000000e+00 1.00000000e+00
 131   4 9.96093750e-01 3.90625000e-03 2.00000000e+00 4.70000000e+00 5.04993977e+00 0.00000000e+00 1.00000000e+00
   4   5 3.90625000e-03 1.17187500e-02 2.00000000e+00 4.70000000e+00 5.04993977e+00 0.00000000e+00 1.00000000e+00
   5   5 1.17187500e-02 1.17187500e-02 2.00000000e+00 4.70000000e+00 5.04945883e+00 0.00000000e+00 1.00000000e+00
   6   5 1.95312500e-02 1.17187500e-02 2.00000000e+00 4.70000000e+00 5.04850156e+00 0.00000000e+00 1.00000000e+00
   7   5 2.73437500e-02 1.17187500e-02 2.00000000e+00 4.70000000e+00 5.04707720e+00 0.00000000e+00 1.00000000e+00
   8   5 3.51562500e-02 1.17187500e-02 2.00000000e+00 4.70000000e+00 5.04519946e+00 0.00000000e+00 1.00000000e+00
   9   5 4.29687500e-02 1.17187500e-02 2.00000000e+00 4.70000000e+00 5.04288643e+00 0.00000000e+00 1.00000000e+00
  10   5 5.07812500e-02 1.17187500e-02 2.00000000e+00 4.70000000e+00 5.04016038e+00 0.00000000e+00 1.00000000e+00
